name	rating	lat	lon	idx	address
Школа № 962	34	55.86583077	37.58786036	142	Россия, Москва, Алтуфьевское шоссе, 30А
Школа № 962	34	55.855073	37.588332	143	Россия, Москва, Алтуфьевское шоссе, 12, корп. 1
Школа № 962	34	55.86486841	37.58989888	144	Россия, Москва, Каргопольская улица, 13, корп. 2
Школа № 962	34	55.861744	37.587409	145	Россия, Москва, Алтуфьевское шоссе, 24А
Школа № 1474	35	55.873342419	37.488825556	146	Россия, Москва, Зеленоградская улица, 33Б
Школа № 1474	35	55.869396	37.4922	147	Россия, Москва, Клинская улица, 20
Школа № 1474	35	55.871241454	37.490719496	148	Россия, Москва, Клинская улица, 22
Школа № 1474	35	55.870779	37.493332	149	Россия, Москва, Клинская улица, 16А
Школа № 1474	35	55.870779	37.493332	150	Россия, Москва, Клинская улица, 16А
Школа № 1534	36	55.687977	37.582087	151	Россия, Москва, улица Гримау, 11А, стр. 3
Школа № 1534	36	55.684728	37.574105	152	Россия, Москва, улица Кедрова, 11А
Школа № 1534	36	55.682017	37.570841	153	Россия, Москва, Профсоюзная улица, 9А
Школа № 1534	36	55.678087877527446	37.5684703346584	154	Россия, Москва, Профсоюзная улица, 15А
Школа № 2086	37	55.694293	37.550558	155	Россия, Москва, Университетский проспект, 3
Школа № 2086	37	55.695415	37.548836	156	Россия, Москва, Университетский проспект, 7
Школа № 2086	37	55.691559	37.54502	157	Россия, Москва, Ломоносовский проспект, 12
Школа № 444	38	55.791445	37.796445	158	Россия, Москва, 8-я Парковая улица, 9
Школа № 444	38	55.79002034030722	37.792616607391636	159	Россия, Москва, 7-я Парковая улица, 1А
Университетская гимназия МГУ	39	55.694627	37.524634	160	Россия, Москва, Ломоносовский проспект, 27, корп. 7
Школа № 1554	40	55.864414	37.623358	161	Россия, Москва, улица Мусоргского, 11А
Школа № 1554	40	55.869255435133816	37.60623501470579	162	Россия, Москва, улица Бестужевых, 10А
Школа № 1554	40	55.864534	37.613476	163	Россия, Москва, улица Пестеля, 5
Школа № 1554	40	55.865522	37.622015	164	Россия, Москва, улица Мусоргского, 11Г
Школа № 1554	40	55.865621	37.611863	165	Россия, Москва, улица Пестеля, 9А
Школа № 1554	40	55.865537	37.61928	166	Россия, Москва, улица Пестеля, 8Г
